Taxon;Seed;SLA;Height
Abarema jupunba;2,5;35,18;45
Abarema mataybifolia;;25,19;28
Agonandra silvatica;;32,7;24
Alchorneopsis floribunda;0,05;;
Amaioua guianensis;;49,98;16
Amanoa guianensis;2,5;;
Ambelania acida;;25,47;24
Anacardium spruceanum;2,5;46,19;29
Anaxagorea dolichocarpa;0,5;;
Andira coriacea;20;;
Aniba citrifolia;;;
Aniba hostmanniana;;23,94;16
Aniba rosaeodora;2,5;;
Aniba williamsii;;22,97;22
Annona ambotay;;;
Antonia ovata;;23,09;40
Apeiba glabra;;37,34;33
Apeiba petoumo;;42,42;30
Aspidosperma album;0,5;21,95;43
Aspidosperma cruentum;0,5;29,49;27
Aspidosperma marcgravianum;0,5;32,74;32
Aspidosperma oblongum;;43,1;33
Aspidosperma sandwithianum;;;
Aspidosperma spruceanum;;11,32;45
Bagassa guianensis;0,01;56,58;40
Balizia pedicellaris;0,5;13,02;35
Bocoa prouacensis;2,5;24,01;37
Brosimum guianense;0,05;31,94;31
Brosimum rubescens;0,05;32,06;40
Brosimum utile;;27,75;33
Buchenavia grandis;;69,33;12
Buchenavia nitidissima;;;
Byrsonima aerugo;;;
Byrsonima densa;;;
Byrsonima laevigata;;13,17;33
Capparis frondosa;;;
Carapa procera;7,5;28,39;35
Caryocar glabrum;20;32,59;48
Casearia javitensis;;38,24;18
Casearia pitumba;;;
Casearia sylvestris;;48;11
Cassia spruceana;;29,33;20
Cassipourea guianensis;;40,5;19
Catostemma fragrans;20;32,96;29
Cecropia obtusa;0,01;16,42;33
Cecropia sciadophylla;0,01;;
Chaetocarpus schomburgkianus;0,05;18,03;33
Chaunochiton kappleri;;30,65;24
Cheiloclinium cognatum;2,5;34;11
Chimarrhis turbinata;;27,71;40
Chrysophyllum argenteum;0,5;36;28
Chrysophyllum cuneifolium;;40,66;25
Chrysophyllum pomiferum;0,5;;
Chrysophyllum prieurii;0,5;23,4;33
Chrysophyllum sanguinolentum;2,5;20,81;36
Coccoloba mollis;;32,05;23
Conceveiba guianensis;0,5;34,6;22
Cordia nervosa;;;
Cordia sagotii;;27,31;34
Cordia sprucei;0,05;;
Couepia bracteosa;7,5;23,3;28
Couepia caryophylloides;7,5;32,29;33
Couepia guianensis;7,5;25,42;30
Couepia habrantha;;18,43;28
Couepia obovata;;;
Couepia parillo;;36,82;31
Couma guianensis;0,5;30,25;36
Couratari calycina;;24,39;25
Couratari gloriosa;0,5;35,34;17
Couratari guianensis;0,5;23,04;45
Couratari multiflora;0,5;34,62;36
Couratari oblongifolia;;47,47;45
Coussapoa trinervia;;;
Coussarea racemosa;;;
Cupania hirsuta;;;
Cupania scrobiculata;;46,16;22
Dacryodes nitens;;23,38;28
Dendrobangia boliviana;;29,16;38
Dicorynia guianensis;0,5;31,73;50
Diospyros carbonaria;;23,24;28
Diospyros duckei;;;
Diospyros vestita;;;
Dipteryx odorata;7,5;26,25;37
Drypetes fanshawei;;37,68;27
Drypetes variabilis;0,5;27,51;34
Duguetia calycina;;41,55;16
Duguetia inconspicua;;;
Duroia aquatica;;32,25;25
Duroia eriopila;;21,19;14
Duroia genipoides;;;
Duroia longiflora;;26,44;22
Duroia micrantha;;;
Ecclinusa ramiflora;0,5;30,16;23
Elvasia elvasioides;;;
Endlicheria multiflora;;;
Enterolobium oldemanii;0,5;;
Enterolobium schomburgkii;0,5;7,23;30
Eperua falcata;7,5;38,31;34
Eperua grandiflora;20;22,7;42
Eperua rubiginosa;7,5;;
Eriotheca globosa;0,05;;
Eschweilera congestiflora;2,5;20,22;19
Eschweilera coriacea;2,5;25,34;37
Eschweilera decolorans;2,5;23,52;40
Eschweilera grandiflora;2,5;15,84;44
Eschweilera pedicellata;2,5;41,1;23
Eschweilera praeclara;;29,34;26
Eschweilera sagotiana;2,5;19,11;44
Eschweilera simiorum;2,5;34,24;20
Eugenia anastomosans;;;
Eugenia marowynensis;;;
Eugenia muricata;;;
Eugenia patrisii;0,05;44,02;16
Eugenia tetramera;;33,16;17
Euplassa pinnata;;;
Ferdinandusa paraensis;;35,82;16
Ficus broadwayi;;;
Ficus guianensis;;;
Ficus hebetifolia;;;
Ficus leiophylla;;;
Ficus nymphaeifolia;;;
Ficus paraensis;;;
Ficus piresiana;;;
Fusaea longifolia;;27,15;27
Garcinia benthamiana;;;
Geissospermum laevis;0,5;40,07;31
Glycydendron amazonicum;7,5;68,53;24
Goupia glabra;0,01;34,48;37
Guarea silvatica;;45,33;30
Guatteria citriodora;;;
Guatteria guianensis;;27,57;9
Gustavia augusta;0,5;;
Gustavia hexapetala;0,5;37,92;35
Hebepetalum humiriifolium;0,5;43,47;24
Heisteria densifrons;;39,43;9
Helicostylis pedunculata;;29,44;30
Helicostylis tomentosa;;27,32;34
Henriettea succosa;;;
Henriettella flavescens;;28,95;8
Hevea guianensis;2,5;53,86;56
Hieronyma oblonga;;;
Himatanthus bracteatus;;;
Hirtella bicornis;;45,41;24
Hirtella glandulosa;;26,93;32
Humiria balsamifera;;;
Humiriastrum subcrenatum;;18,71;30
Hyeronima alchorneoides;0,05;45,29;20
Ilex inundata;;;
Inga alba;0,5;44,97;30
Inga albicoria;;30,04;32
Inga bourgoni;0,5;;
Inga capitata;;;
Inga cayennensis;2,5;;
Inga disticha;;;
Inga gracilifolia;0,5;37,84;35
Inga lomatophylla;;;
Inga longipedunculata;;13,68;27
Inga melinonis;;23,36;24
Inga nobilis;2,5;;
Inga paraensis;;28,18;35
Inga pezizifera;2,5;38,87;30
Inga rubiginosa;2,5;31,35;25
Inga sarmentosa;2,5;19,89;34
Inga semialata;;;
Inga splendens;;;
Inga stipularis;2,5;23,3;11
Inga thibaudiana;0,5;;
Inga tubaeformis;;;
Inga umbellifera;;;
Iryanthera hostmannii;0,5;31,87;22
Iryanthera sagotiana;2,5;33,01;36
Isertia coccinea;;;
Jacaranda copaia;0,05;29,35;28
Lacistema aggregatum;;;
Lacmellea aculeata;0,5;32,4;18
Lacmellea floribunda;;;
Lacunaria crenata;0,5;28,48;13
Lacunaria jenmani;;;
Laetia procera;0,01;23,27;38
Lecythis chartacea;2,5;27,02;34
Lecythis corrugata;2,5;26,11;34
Lecythis holcogyne;2,5;14,29;28
Lecythis persistens;2,5;18,72;38
Lecythis poiteaui;2,5;36,52;40
Lecythis zabucajo;2,5;32,08;38
Leonia glycycarpa;;31,68;18
Licania alba;20;18,94;31
Licania amapaensis;;;
Licania canescens;;30,24;25
Licania densiflora;;;
Licania heteromorpha;2,5;22,68;32
Licania hypoleuca;;;
Licania kunthiana;;16,49;45
Licania latistipula;2,5;33,64;13
Licania laxiflora;;27,8;48
Licania licaniiflora;;38,96;14
Licania majuscula;;26,11;42
Licania membranacea;;23,18;42
Licania micrantha;2,5;26,62;25
Licania ovalifolia;2,5;16,66;35
Licania parvifructa;;;
Licania sprucei;;21,52;17
Licaria cannella;2,5;31,98;40
Licaria chrysophylla;;31,79;21
Loreya arborescens;;12,35;22
Loreya mespiloides;;;
Lueheopsis rosea;;;
Lueheopsis rugosa;;36,55;28
Mabea piriri;0,5;31,51;20
Macoubea guianensis;2,5;39,18;39
Macrolobium bifolium;7,5;59,93;20
Manilkara bidentata;0,5;15,14;38
Maquira guianensis;;31,57;25
Matayba arborescens;;;
Maytenus oblongata;0,5;24,36;17
Melicoccus pedicellaris;;43,8;23
Miconia acuminata;;28,86;17
Miconia alborufescens;;;
Miconia argyrophylla;;;
Miconia fragilis;;15,1;32
Miconia minutiflora;;;
Miconia plukenetii;;;
Miconia poeppigii;;;
Miconia prasina;;;
Miconia trinervia;;;
Miconia tschudyoides;;36,01;14
Micropholis egensis;0,5;24,9;32
Micropholis guyanensis;0,5;24,41;36
Micropholis mensalis;;;
Micropholis obscura;0,5;18,51;40
Micropholis venulosa;0,5;44,44;30
Minquartia guianensis;2,5;27,19;37
Moronobea coccinea;7,5;33,4;36
Mouriri crassifolia;0,05;16,31;27
Mouriri nervosa;;;
Mouriri sagotiana;;36,86;17
Myrcia decorticans;;32,6;19
Myrciaria floribunda;;17,45;16
Naucleopsis guianensis;;26,56;18
Ocotea amazonica;;23,86;24
Ocotea glomerata;;;
Ocotea puberula;;;
Ocotea splendens;;;
Ormosia coutinhoi;0,5;;
Ormosia paraensis;0,5;;
Ouratea decagyna;;;
Oxandra asbeckii;0,5;24,13;24
Pachira dolichocalyx;2,5;38,08;32
Palicourea guianensis;;36,23;11
Parahancornia fasciculata;0,5;37,9;34
Parinari campestris;2,5;20,31;33
Parinari montana;20;13,76;30
Parinari rodolphii;7,5;;
Parkia nitida;2,5;9,19;45
Parkia pendula;0,5;;
Parkia ulei;0,5;6;48
Parkia velutina;2,5;40,37;8
Paypayrola guianensis;;;
Platonia insignis;7,5;16,24;30
Poecilanthe effusa;;54,12;17
Poecilanthe hostmannii;;;
Pogonophora schomburgkiana;;38,42;27
Poraqueiba guianensis;7,5;27,7;26
Posoqueria latifolia;0,5;22,76;25
Pourouma bicolor;;18,87;33
Pourouma guianensis;0,5;;
Pourouma melinonii;0,5;23,26;22
Pourouma villosa;;21,27;30
Pouteria ambelaniifolia;0,5;20,54;31
Pouteria bangii;;21,45;31
Pouteria caimito;;;
Pouteria congestifolia;;;
Pouteria coriacea;;;
Pouteria egregia;0,5;18,88;37
Pouteria engleri;;27,29;22
Pouteria eugeniifolia;;24,67;43
Pouteria gonggrijpii;;27,6;31
Pouteria grandis;;6,28;36
Pouteria guianensis;0,5;16,38;34
Pouteria jariensis;;21,17;24
Pouteria melanopoda;;17,62;35
Pouteria oblanceolata;;;
Pouteria reticulata;;31,87;28
Pouteria singularis;;20,53;42
Pouteria torta;0,5;17,39;35
Pouteria venosa;;83,26;14
Pradosia cochlearia;0,5;20,54;40
Pradosia ptychandra;0,5;28,89;35
Protium aracouchini;;;
Protium gallicum;0,5;36,98;30
Protium giganteum;0,5;13,29;27
Protium guianense;0,5;38,99;
Protium opacum;2,5;27,81;30
Protium plagiocarpum;0,5;45,04;17
Protium robustum;;;
Protium sagotianum;;32,66;36
Protium subserratum;0,5;41,39;16
Protium trifoliolatum;;38,64;26
Prunus myrtifolia;;;
Pseudolmedia laevis;;;
Pterocarpus officinalis;2,5;;
Qualea dinizii;;;
Qualea rosea;0,5;17,53;42
Quiina guianensis;;51,09;12
Quiina obovata;0,5;21,17;15
Rauvolfia paraensis;;;
Recordoxylon speciosum;0,5;45,47;35
Rheedia acuminata;;;
Rheedia madruno;;21,39;21
Rhodostemonodaphne grandis;7,5;19,29;28
Rinorea bahiensis;;;
Rinorea flavescens;;;
Rollinia exsucca;;;
Ruizterania albiflora;0,5;24,39;48
Sacoglottis guianensis;;15,77;27
Sandwithia guianensis;;41,97;17
Sarcaulus brasiliensis;;;
Schefflera decaphylla;0,05;20,23;28
Schefflera morototoni;0,05;30,5;28
Sextonia rubra;2,5;27,74;50
Simaba cedron;;31,78;20
Simaba morettii;;22,64;36
Simaba polyphylla;;32,28;27
Simarouba amara;0,5;25,81;37
Siparuna decipiens;;46,77;19
Sloanea garckeana;;31,83;24
Sloanea grandiflora;2,5;;
Sterculia excelsa;;;
Sterculia multiovula;;21,55;30
Sterculia pruriens;;28,98;40
Stryphnodendron polystachyum;;31,86;38
Swartzia arborescens;;50,76;18
Swartzia grandifolia;2,5;33,83;
Swartzia guianensis;;;
Swartzia leblondii;2,5;35,04;26
Swartzia panacoco;2,5;50,38;32
Swartzia polyphylla;2,5;25,14;38
Symphonia globulifera;7,5;24,03;26
Symphonia sp.;7,5;24,03;26
Tabebuia impetiginosa;;;
Tabebuia insignis;0,05;;
Tabebuia serratifolia;0,05;21,91;23
Tabernaemontana attenuata;;;
Tabernaemontana undulata;;;
Tachigali guianensis;0,5;59,61;27
Tachigali melinonii;0,5;26,91;36
Tachigali paraensis;0,5;22,48;38
Talisia furfuracea;;;
Talisia hexaphylla;;22,7;25
Talisia microphylla;;32,68;18
Talisia praealta;;27,31;28
Talisia simaboides;;22,26;30
Tapirira bethanniana;;19,99;17
Tapirira guianensis;0,05;27,97;30
Tapirira obtusa;;26,61;25
Tapura capitulifera;;18,07;33
Terminalia amazonia;0,05;;
Tetragastris altissima;2,5;31,01;34
Tetragastris hostmanii;;;
Tetragastris panamensis;2,5;26,91;32
Theobroma subincanum;0,5;30,32;34
Thyrsodium guianense;0,5;21,34;29
Thyrsodium puberulum;;28,47;32
Thyrsodium spruceanum;;;
Toulicia guianensis;;;
Touroulia guianensis;;57,14;26
Tovomita brasiliensis;;;
Tovomita brevistaminea;;;
Trichilia micrantha;;51,54;20
Trichilia schomburgkii;;30,94;20
Trymatococcus amazonicus;;39,67;12
Trymatococcus oligandrus;;37,75;32
Unonopsis rufescens;;40,61;20
Vantanea guianensis;;;
Vantanea parviflora;2,5;11,32;42
Virola michelii;2,5;32;38
Virola surinamensis;0,5;;
Vismia guianensis;0,05;;
Vismia latifolia;;;
Vismia sessilifolia;;;
Vitex triflora;;24,78;16
Vochysia tomentosa;0,5;13,22;50
Votomita guianensis;;;
Vouacapoua americana;20;38,99;42
Xylopia crinita;;;
Xylopia nitida;0,5;24,02;36
Xylopia pulcherrima;;;
Xylopia surinamensis;;;
Zanthoxylum ekmanii;;;
Zygia tetragona;;27,17;17